"Tag Summary Report"
"12/01/2024 00:00 - 01/01/2025 00:00"

Incident,"Ad Tag ID",Hash,"Tag Name","Scan Type","Hit Type","Scan Date","Scan ID",Example,csid,"Comment Type","Comment Text","Threat Behavior","Expected Behavior","Malware Condition","Named Threat","Resolution Reason"
TMT-20241217-MEF,pluto_tmt_cr_caaa604b20221a7b96d0610919c7dd89,d06de772c7c45f6e1c9f9be2131e4d63,pluto_tmt_mobile_103_176_CR51806708_RTB,Tag,Scam/Fraud,"2024-12-22 08:30 +0000",124450481282,https://www.themediatrust.com?scsh=124450481282,3UFhAQ8x1Aau,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20241213-LXJ,pluto_tmt_cr_31d02538e117bb2c95457d35037e232a,10a777eddd1791caf04713d36f94bd8f,pluto_tmt_mobile_381_1439-d39074b12bc5c1770c4e772efe4037a1_RTB,Tag,Malicious,"2024-12-22 08:20 +0000",124450288772,https://www.themediatrust.com?scsh=124450288772,3UFh7PJU2jVL,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20241213-LXJ,pluto_tmt_cr_09d70227d5285afbaaf328a09cc94036,d8d47647a7471cb8bc8e105724de2217,pluto_tmt_mobile_633_d872217b70f10f32f05664d3d3a45fb9_RTB,Tag,Malicious,"2024-12-22 08:11 +0000",124450092015,https://www.themediatrust.com?scsh=124450092015,3UFh4XSE13Cn,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20241213-LXJ,pluto_tmt_cr_7c5950515787e8e41a83d1c775cb248a,2e67c0f21a85112ac386543641157a1d,pluto_tmt_mobile_633_cr2203.89b274de_RTB,Tag,Malicious,"2024-12-22 08:01 +0000",124449894306,https://www.themediatrust.com?scsh=124449894306,3UFh1JmH1GWJ,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20240705-LPW,pluto_tmt_cr_fda3ed97e34006137d845e340c2ea009,2fb4377a751c254ee9fdf3e88894e689,pluto_tmt_mobile_629_cr2183.8eea7d8e_RTB,Tag,Malicious,"2024-12-22 07:45 +0000",124449570524,https://www.themediatrust.com?scsh=124449570524,3UFgExtv18i9,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20240503-MWB,pluto_tmt_cr_dfe15fb1175b33616976965c1570bf03,17e4fbee33f1a1a307a025671a1e1529,pluto_tmt_mobile_159_120408_30_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 07:29 +0000",124449258052,https://www.themediatrust.com?scsh=124449258052,3UFg9xye2KJg,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240703-YMJ,pluto_tmt_cr_5a2868067e71e62245a1b0a6404e773c,a841119f636727ec9e4e17b6c7762a04,pluto_tmt_mobile_358_362437_367_232451|c4e816c529688a2a_RTB,Tag,Malicious,"2024-12-22 07:04 +0000",124448786363,https://www.themediatrust.com?scsh=124448786363,3UFg2Q2Z2Q5d,"Phishing Domain","Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,"Phishing Domain",,
TMT-20240424-UAH,pluto_tmt_cr_ed76ac3ace73c148a6b14e66303f1872,3203388b32276826c2065a2f2414b805,pluto_tmt_mobile_544_cr2690.ea6b2cb6_RTB,Tag,"Out Of Browser Redirect","2024-12-22 06:30 +0000",124448152788,https://www.themediatrust.com?scsh=124448152788,3UFfARXA1EsR,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20241220-RPU,pluto_tmt_cr_632b629fd5fab21cc1265423aa204396,ca3e7094444bb8e8b650c2c7520d7caa,pluto_tmt_mobile_167_c9750e9cc5964bbc8853de4d01977a74|1971_RTB,Tag,Resolved,"2024-12-22 06:21 +0000",124447987800,https://www.themediatrust.com?scsh=124447987800,3UFf7mAx2hEe,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,"Updating Conditions of Incident"
TMT-20240430-CTU,pluto_tmt_cr_041e80851a0fa29b7195aba7c412205c,92db7fbee45619dfee3168581ec70dad,pluto_tmt_mobile_103_176_CR51399021_RTB,Tag,Scam/Fraud,"2024-12-22 06:16 +0000",124447874217,https://www.themediatrust.com?scsh=124447874217,3UFf69eo1945,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20241213-LXJ,pluto_tmt_cr_28b95ccfb7f52506e1756746e4bc1e0b,25f3808a6c71b826b1dfd316923d6599,pluto_tmt_mobile_381_1447-a777a87c22900ff4146ccc3013f77c89_RTB,Tag,Malicious,"2024-12-22 06:15 +0000",124447853472,https://www.themediatrust.com?scsh=124447853472,3UFf5dmH1WvM,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20240430-CTU,pluto_tmt_cr_edef94c7a9c1c919d049ba7c8660c43e,e6aa5fed9367c3583c83080dbbac5847,pluto_tmt_mobile_103_176_CR51399023_RTB,Tag,Scam/Fraud,"2024-12-22 06:14 +0000",124447833431,https://www.themediatrust.com?scsh=124447833431,3UFf5PZp1nhH,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20240429-OMT,pluto_tmt_cr_4b1fd1b543493a9d81a1ebdd510df347,71d6b33f6efd74504ed02229a3601392,pluto_tmt_mobile_822_556010-176_CR51723948|3702b4d752b50eda_RTB,Tag,Scam/Fraud,"2024-12-22 05:49 +0000",124447382614,https://www.themediatrust.com?scsh=124447382614,3UFeGHSa1Mmo,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,eb7f3c6def015aee2ad7f2f310a80a50,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:35 +0000",124442290970,https://www.themediatrust.com?scsh=124442290970,3UFaBvLj1r65,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_5fe63f28d0affc4c2509e0279cdc23a7,9284cfeb492b477cb91243568df4c2ad,pluto_tmt_mobile_159_121045_4_79_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:34 +0000",124442265449,https://www.themediatrust.com?scsh=124442265449,3UFaBVEr24sC,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_3c4bd9c34866839964ce24549160bc11,46a4e30de5394767690cd82772c35f2e,pluto_tmt_mobile_159_121045_1_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:30 +0000",124442210330,https://www.themediatrust.com?scsh=124442210330,3UFaAXUM1xP7,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,85c532a72d0fca317ab18488d14c9bc6,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:30 +0000",124442188906,https://www.themediatrust.com?scsh=124442188906,3UFaAEsc1ujT,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,4253812986effa662e7de6a5ce3b6b72,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:22 +0000",124442017227,https://www.themediatrust.com?scsh=124442017227,3UFa7r871ha1,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_3c4bd9c34866839964ce24549160bc11,b9a9c3cf679afa4b02299858abe29655,pluto_tmt_mobile_159_121045_1_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:20 +0000",124441985221,https://www.themediatrust.com?scsh=124441985221,3UFa7Hy51QJY,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240929-QYZ,pluto_tmt_cr_c4110d07194d26ab5e904e13ddd97e13,752f726048d66677978ccb781159ae3e,pluto_tmt_mobile_647_359893feecf1e77318d124343f42f45f_11_RTB,Tag,Malicious,"2024-12-22 01:18 +0000",124441937627,https://www.themediatrust.com?scsh=124441937627,3UFa6bND1qe7,"Phishing Domain","Phishing Domain: This domain delivers malicious popups and other phishing content such as fake surveys, gift card prizes, and fraudulent offers designed to trick users into disclosing personal information or downloading malware onto their device. These deceptive tactics are designed to exploit unsuspecting individuals, leading to potential financial loss, identity theft, and compromised security.",Phishing,Phishing,"Phishing Domain",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,a24b8c7db5ea4e47005ab5b8e7ea3867,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:17 +0000",124441916128,https://www.themediatrust.com?scsh=124441916128,3UFa6HVy1QuF,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,33c03d2ae08fd0ef55410da1675f856f,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:14 +0000",124441862683,https://www.themediatrust.com?scsh=124441862683,3UFa5Mte1VHu,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,d58002d887db42ac0d96a85ee4a358d5,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:10 +0000",124441774968,https://www.themediatrust.com?scsh=124441774968,3UFa4BRM1Atp,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240206-JPV,pluto_tmt_cr_0aee9c4723f0df58e6f9f310f19c4823,c7e8f657eea9e9109252f8008fcbe6a4,pluto_tmt_mobile_432_5248:11779934_RTB,Tag,"Out Of Browser Redirect","2024-12-22 01:08 +0000",124441710280,https://www.themediatrust.com?scsh=124441710280,3UFa3VTf23jN,"App Store Redirect iOS","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the iTunes store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into iTunes. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect iOS",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,e519220d682b5c0b50e276bae628b658,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:00 +0000",124441587277,https://www.themediatrust.com?scsh=124441587277,3UFa1FYM1zWD,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,ba816254a092983977ed4dc416c0313c,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 01:00 +0000",124441565162,https://www.themediatrust.com?scsh=124441565162,3UFa12Fd2Qk3,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,0bdc290f9383823b05c5a701ff9c2151,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:59 +0000",124441552779,https://www.themediatrust.com?scsh=124441552779,3UFZKCGa1tH4,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,ffd9b58d7c0a31d27a40df2fea371696,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:56 +0000",124441496276,https://www.themediatrust.com?scsh=124441496276,3UFZJPwp25BM,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240424-UAH,pluto_tmt_cr_749492425ae2ebc0611dcef4fb43ba73,f6110c9927b5d408e67de5744ee4ea8e,pluto_tmt_mobile_459_cr2690.ea6b2cb6_RTB,Tag,"Out Of Browser Redirect","2024-12-22 00:54 +0000",124441448732,https://www.themediatrust.com?scsh=124441448732,3UFZHikL2CLr,"App Store Redirect Android","This content has been seen to trigger click fraud activity in ad delivery as well as auto redirect users to the Google Play store without any user initiation. This content triggers a click action when the user has not yet clicked on any items causing the fraud to take place. The user is taken out of their current browser (or app) and forced into the Google Play store. Although not necessarily malicious, this behavior is unwanted and because of this, TMT is alerting on its presence.Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Out-of-browser Redirect","App Store Redirect Android",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,f90389c18a4a561cef17b50c5cb5db2a,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:45 +0000",124441257841,https://www.themediatrust.com?scsh=124441257841,3UFZEvzi2VpF,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240430-CTU,pluto_tmt_cr_a2d77e1314625d8d6560550ab4ef37b8,fa48b9338be95c3155e818576e5b7a2b,pluto_tmt_mobile_103_176_CR51776744_RTB,Tag,Scam/Fraud,"2024-12-22 00:35 +0000",124441056819,https://www.themediatrust.com?scsh=124441056819,3UFZBvBe14Q9,"Ad Fraud","The creative delivery method for this creative will piggyback extra content. This extra content gets delivered when the creative is delivered and is acting in a fraudulent manner that includes, but is not limited to, cookie stuffing and impression fraud.
Often times the fix is as simple as removing the click URL from the 1x1 iframe where an impression URL is typically located.","Ad Fraud","Impression Fraud","Ad Fraud",,
TMT-20231122-BCO,pluto_tmt_cr_fd983c7626a1a967f31a8342c4293ce7,b7e161afa0edbbcc8e1db7dbd2eebf1d,pluto_tmt_mobile_324_120256_4_50_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:26 +0000",124440881110,https://www.themediatrust.com?scsh=124440881110,3UFZ9JHq1usv,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20241213-LXJ,pluto_tmt_cr_02bb821491d19ddc370a55a8d911e38a,195c4566fa1b66c0b6b853ac3612501b,pluto_tmt_mobile_381_1447-d39074b12bc5c1770c4e772efe4037a1_RTB,Tag,Malicious,"2024-12-22 00:26 +0000",124440879499,https://www.themediatrust.com?scsh=124440879499,3UFZ9Bjp1G4D,"GhostCat - 3PC","GhostCat-3PC: This malicious campaign utilizes advanced obfuscation and delivery patterns to evade signature-based detection. This malware evades conventional blockers in order to hijack users browser sessions for the purpose of delivering popups, redirects, and other phishing content. Publisher visitors who fall victim to this malware may have malicious software installed on their device, including but not limited to Remote Access Trojans and adware.",Phishing,Phishing,"GhostCat - 3PC","GhostCat - 3PC",
TMT-20231122-BCO,pluto_tmt_cr_99341d2bb0c45442da991c947bdc641e,14eb89aa61a45475d39fb1d3a4981b80,pluto_tmt_mobile_324_120364_4_50_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:23 +0000",124440810031,https://www.themediatrust.com?scsh=124440810031,3UFZ8BWM1AVB,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,e49499f1cbb504334e4388606cca3fce,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:13 +0000",124440608574,https://www.themediatrust.com?scsh=124440608574,3UFZ53iX2gZV,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,6fd181b0802dc93bc3b83fdc4a28a4f2,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:13 +0000",124440608525,https://www.themediatrust.com?scsh=124440608525,3UFZ532J2h6b,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,3872517f381114833bde10f74a364a83,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:07 +0000",124440476889,https://www.themediatrust.com?scsh=124440476889,3UFZ3Eut2oUY,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,7468e09cc7d8a7e133572164d7525ef8,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-22 00:06 +0000",124440464331,https://www.themediatrust.com?scsh=124440464331,3UFZ32rZ1rHS,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20240503-MWB,pluto_tmt_cr_1a0c4428c11b96851b674fbdb255ed0a,5839e9d0c155fca652182e277f814e78,pluto_tmt_mobile_103_308_120410_4_94_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:49 +0000",124440141277,https://www.themediatrust.com?scsh=124440141277,3UFYG9SZ2U7D,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_3c4bd9c34866839964ce24549160bc11,ff0f569e09a163b7ed4f87f195f503ba,pluto_tmt_mobile_159_121045_1_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:30 +0000",124439731733,https://www.themediatrust.com?scsh=124439731733,3UFYAJYK2LXb,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20231122-BCO,pluto_tmt_cr_7b25ab44721372bd1065b8fcfec7266b,daab38feaba03d46447b2d61e18ec155,pluto_tmt_mobile_159_121045_3_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:28 +0000",124439731575,https://www.themediatrust.com?scsh=124439731575,3UFY9fou1Yvd,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_3c4bd9c34866839964ce24549160bc11,65fcc3198037aa77ac44d8fe124050f8,pluto_tmt_mobile_159_121045_1_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:21 +0000",124439569604,https://www.themediatrust.com?scsh=124439569604,3UFY7bTg2Vz8,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-OEC,pluto_tmt_cr_3c4bd9c34866839964ce24549160bc11,f089eee75bc3a607a2b0666f04c6538e,pluto_tmt_mobile_159_121045_1_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:18 +0000",124439515372,https://www.themediatrust.com?scsh=124439515372,3UFY6Z4919sQ,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
TMT-20230609-VMQ,pluto_tmt_cr_bb0acc1939e031094398e71203a72a45,5ac851a820a447c977d6a9113be4a6b3,pluto_tmt_mobile_159_121045_4_80_RTB,Tag,"Malicious - Indirect Evidence","2024-12-21 23:16 +0000",124439468194,https://www.themediatrust.com?scsh=124439468194,3UFY5yKW1ss5,"Heuristic Flag","Heuristics: This content matches previously identified patterns and characteristics of known malicious content. This flag is specifically placed to discover and locate potential characteristics and impressions of new and modified versions of existing threats.","Generic Malware/Suspicious","Suspicious (Multiple indicators match known overt incidents but no overt actions detected.)","Heuristic Flag",,
